date,product,category,quantity,unit_price,total,customer_type,payment_method
2026-01-05,Winter Jacket,Outerwear,3,89.99,269.97,returning,card
2026-01-05,Wool Scarf,Accessories,5,24.99,124.95,new,card
2026-01-06,Running Shoes,Footwear,2,119.99,239.98,returning,paypal
2026-01-07,Cotton T-Shirt,Tops,8,19.99,159.92,new,card
2026-01-08,Leather Belt,Accessories,4,34.99,139.96,returning,card
2026-01-10,Winter Jacket,Outerwear,1,89.99,89.99,new,cash
2026-01-12,Denim Jeans,Bottoms,6,59.99,359.94,returning,card
2026-01-14,Running Shoes,Footwear,3,119.99,359.97,new,paypal
2026-01-15,Wool Scarf,Accessories,2,24.99,49.98,returning,card
2026-01-18,Cotton T-Shirt,Tops,12,19.99,239.88,new,card
2026-01-20,Winter Jacket,Outerwear,2,89.99,179.98,returning,cash
2026-01-22,Leather Belt,Accessories,3,34.99,104.97,new,card
2026-01-25,Denim Jeans,Bottoms,4,59.99,239.96,returning,paypal
2026-01-28,Running Shoes,Footwear,5,119.99,599.95,returning,card
2026-02-01,Cotton T-Shirt,Tops,10,19.99,199.90,new,card
2026-02-03,Winter Jacket,Outerwear,1,89.99,89.99,returning,card
2026-02-05,Wool Scarf,Accessories,7,24.99,174.93,new,cash
2026-02-07,Denim Jeans,Bottoms,3,59.99,179.97,returning,card
2026-02-10,Running Shoes,Footwear,2,119.99,239.98,new,paypal
2026-02-12,Leather Belt,Accessories,6,34.99,209.94,returning,card
2026-02-14,Cotton T-Shirt,Tops,15,19.99,299.85,new,card
2026-02-15,Winter Jacket,Outerwear,4,89.99,359.96,returning,card
2026-02-17,Denim Jeans,Bottoms,2,59.99,119.98,new,cash
2026-02-19,Wool Scarf,Accessories,4,24.99,99.96,returning,paypal
2026-02-21,Running Shoes,Footwear,3,119.99,359.97,new,card
